,Bus,Follows,Confidence Score(0 to 1)
0,c0e0a47587fbf6247f4f9a22ba22cc80,b74673eaf82c5158c4f76797c938c9a0,1.0
1,c0e0a47587fbf6247f4f9a22ba22cc80,a70bfd3145f3c601b7b8371845be6e57,1.0
2,c0e0a47587fbf6247f4f9a22ba22cc80,a6951a59b64579edcf822ab9ea4c0c83,1.0
3,c0e0a47587fbf6247f4f9a22ba22cc80,22f694bbcef788c5f2f4d44ad39fcdbd,1.0
4,bae2b9f85a7c3e8eaea1a12ac8be7af2,52f186799d2b458345f56fec0c00c689,1.0
5,b74673eaf82c5158c4f76797c938c9a0,a70bfd3145f3c601b7b8371845be6e57,1.0
6,b74673eaf82c5158c4f76797c938c9a0,a6951a59b64579edcf822ab9ea4c0c83,1.0
7,b74673eaf82c5158c4f76797c938c9a0,22f694bbcef788c5f2f4d44ad39fcdbd,1.0
8,fa311021504691f83fa777072f491f0b,a70bfd3145f3c601b7b8371845be6e57,1.0
9,bbe32cc22507520cba3b9e56765482c5,a70bfd3145f3c601b7b8371845be6e57,1.0
10,a70bfd3145f3c601b7b8371845be6e57,a6951a59b64579edcf822ab9ea4c0c83,1.0
11,a70bfd3145f3c601b7b8371845be6e57,22f694bbcef788c5f2f4d44ad39fcdbd,1.0
12,a6951a59b64579edcf822ab9ea4c0c83,22f694bbcef788c5f2f4d44ad39fcdbd,1.0
13,7f431e064b9ea2f9852a37f92b316802,10598f3c00cb10feb6c5a369ea5d4331,1.0
14,d6fa79179fda2a77455794637f225962,3014ebaddbddfbfc27bf6d8958851aa5,0.8318181818181818
15,8239a4d7ab3b3de7711c6cb7748229bf,64a22e07e0139a1d1f322f58f206e5bf,0.805
16,f4b9954bf711461b37cab613fdcb8807,8a96c2026a520cfd595767af6e5974ef,0.775
17,bb34a6d5a6c5e806c2bdc7afc63e4397,4a2864d951d93bbfb4d7ac6a4eb40a75,0.7538461538461538
18,d6fa79179fda2a77455794637f225962,b8d1710db82f66126ca3f540f2ad2f08,0.7521739130434782
19,bb34a6d5a6c5e806c2bdc7afc63e4397,642c372f4c10a6c0039912b557aa8a22,0.7133333333333334
20,9656d6395d1f3a4497d0871a03366078,56f71d6aca7fc3a5db009a462d9e502a,0.6857142857142857
21,bae2b9f85a7c3e8eaea1a12ac8be7af2,626d457856a4635087133cf957abae2b,0.67
22,64a22e07e0139a1d1f322f58f206e5bf,3014ebaddbddfbfc27bf6d8958851aa5,0.6571428571428571
23,6d364920e6c9f9f71b1d881107e639f0,64a22e07e0139a1d1f322f58f206e5bf,0.6473684210526316
